#controlledVocabulary,DatasetField,Value,identifier,displayOrder
,language,Bulgarian,,23
,language,Burmese,,24
,language,"Catalan,Valencian",,25
,language,Chamorro,,26
,language,Chechen,,27
,language,"Chichewa, Chewa, Nyanja",,28
,language,Chinese,,29
,language,Chuvash,,30
,language,Cornish,,31
,language,Corsican,,32
,language,Cree,,33
,language,Croatian,,34
,language,Czech,,35
,language,Danish,,36
,language,"Divehi, Dhivehi, Maldivian",,37
,language,Dutch,,38
,language,Dzongkha,,39
,language,English,,40
,language,Esperanto,,41
,language,Estonian,,42
,language,Ewe,,43
,language,Faroese,,44
,language,Fijian,,45
,language,Finnish,,46
,language,French,,47
,language,"Fula, Fulah, Pulaar, Pular",,48
,language,Galician,,49
,language,Georgian,,50
,language,German,,51
,language,Greek (modern),,52
,language,Guaraní,,53
,language,Gujarati,,54
,language,"Haitian, Haitian Creole",,55
,language,Hausa,,56
,language,Hebrew (modern),,57
,language,Herero,,58
,language,Hindi,,59
,language,Hiri Motu,,60
,language,Hungarian,,61
,language,Interlingua,,62
,language,Indonesian,,63
,language,Interlingue,,64
,language,Irish,,65
,language,Igbo,,66
,language,Inupiaq,,67
,language,Ido,,68
,language,Icelandic,,69
,language,Italian,,70
,language,Inuktitut,,71
,language,Japanese,,72
,language,Javanese,,73
,language,"Kalaallisut, Greenlandic",,74
,language,Kannada,,75
,language,Kanuri,,76
,language,Kashmiri,,77
,language,Kazakh,,78
,language,Khmer,,79
,language,"Kikuyu, Gikuyu",,80
,language,Kinyarwanda,,81
,language,Kyrgyz,,82
,language,Komi,,83
,language,Kongo,,84
,language,Korean,,85
,language,Kurdish,,86
,language,"Kwanyama, Kuanyama",,87
,language,Latin,,88
,language,"Luxembourgish, Letzeburgesch",,89
,language,Ganda,,90
,language,"Limburgish, Limburgan, Limburger",,91
,language,Lingala,,92
,language,Lao,,93
,language,Lithuanian,,94
,language,Luba-Katanga,,95
,language,Latvian,,96
,language,Manx,,97
,language,Macedonian,,98
,language,Malagasy,,99
,language,Malay,,100
,language,Malayalam,,101
,language,Maltese,,102
,language,Māori,,103
,language,Marathi (Marāṭhī),,104
,language,Marshallese,,105
,language,Mixtepec Mixtec,,106
,language,Mongolian,,107
,language,Nauru,,108
,language,"Navajo, Navaho",,109
,language,Northern Ndebele,,110
,language,Nepali,,111
,language,Ndonga,,112
,language,Norwegian Bokmål,,113
,language,Norwegian Nynorsk,,114
,language,Norwegian,,115
,language,Nuosu,,116
,language,Southern Ndebele,,117
,language,Occitan,,118
,language,"Ojibwe, Ojibwa",,119
,language,"Old Church Slavonic,Church Slavonic,Old Bulgarian",,120
,language,Oromo,,121
,language,Oriya,,122
,language,"Ossetian, Ossetic",,123
,language,"Panjabi, Punjabi",,124
,language,Pāli,,125
,language,Persian (Farsi),,126
,language,Polish,,127
,language,"Pashto, Pushto",,128
,language,Portuguese,,129
,language,Quechua,,130
,language,Romansh,,131
,language,Kirundi,,132
,language,Romanian,,133
,language,Russian,,134
,language,Sanskrit (Saṁskṛta),,135
,language,Sardinian,,136
,language,Sindhi,,137
,language,Northern Sami,,138
,language,Samoan,,139
,language,Sango,,140
,language,Serbian,,141
,language,"Scottish Gaelic, Gaelic",,142
,language,Shona,,143
,language,"Sinhala, Sinhalese",,144
,language,Slovak,,145
,language,Slovene,,146
,language,Somali,,147
,language,Southern Sotho,,148
,language,"Spanish, Castilian",,149
,language,Sundanese,,150
,language,Swahili,,151
,language,Swati,,152
,language,Swedish,,153
,language,Tamil,,154
,language,Telugu,,155
,language,Tajik,,156
,language,Thai,,157
,language,Tigrinya,,158
,language,"Tibetan Standard, Tibetan, Central",,159
,language,Turkmen,,160
,language,Tagalog,,161
,language,Tswana,,162
,language,Tonga (Tonga Islands),,163
,language,Turkish,,164
,language,Tsonga,,165
,language,Tatar,,166
,language,Twi,,167
,language,Tahitian,,168
,language,"Uyghur, Uighur",,169
,language,Ukrainian,,170
,language,Urdu,,171
,language,Uzbek,,172
,language,Venda,,173
,language,Vietnamese,,174
,language,Volapük,,175
,language,Walloon,,176
,language,Welsh,,177
,language,Wolof,,178
,language,Western Frisian,,179
,language,Xhosa,,180
,language,Yiddish,,181
,language,Yoruba,,182
,language,"Zhuang, Chuang",,183
,language,Zulu,,184
,language,Not applicable,,185
